figure_id,role,png,pdf,source_script,source_data,caption,article_section,generated_at,dpi
SynDX-F1,manuscript,figures\manuscript\fig1_shap_importance_clinical.png,figures\manuscript\fig1_shap_importance_clinical.pdf,scripts/generate_manuscript_figures.py,outputs\xai_explanations\reports\shap_report.json,Clinically labelled SHAP feature-importance panel for SynDX dizziness-case modeling.,Explainability validation,2026-06-20T11:55:18,300
SynDX-F2,manuscript,figures\manuscript\fig2_focused_validation_metrics.png,figures\manuscript\fig2_focused_validation_metrics.pdf,scripts/generate_manuscript_figures.py,outputs\validation_demo\shap\validation_metrics.json; outputs\validation_demo\counterfactual\validation_metrics.json; outputs\validation_demo\nmf\validation_metrics.json,Focused SynDX validation metrics split from dense dashboard-style outputs.,Validation results,2026-06-20T11:55:18,300
SynDX-F3,manuscript,figures\manuscript\fig3_counterfactual_quality_profile.png,figures\manuscript\fig3_counterfactual_quality_profile.pdf,scripts/generate_manuscript_figures.py,outputs\validation_demo\counterfactual\validation_metrics.json,"Counterfactual quality profile summarizing sparsity, plausibility, diversity, and proximity.",Counterfactual validation,2026-06-20T11:55:18,300
